agz	pitch	roll	yaw	vgx	vgy	vgz	templ	temph	tof	h	bat	baro	time	agx	agy	timestamp
-1	0	-2	0	0	3	66	68	10	0	8	972.01	66	-15	13	-965	1634988063.62128
-1	0	-2	0	0	4	66	68	10	0	8	972.03	66	-30	9	-963	1634988063.7239
-1	0	-2	0	0	5	66	68	10	0	8	972.1	66	-21	17	-968	1634988063.81599
-1	0	-2	0	0	6	66	68	10	-10	8	972.15	66	-32	31	-961	1634988063.92923
-1	0	-2	0	0	6	66	68	10	-10	8	972.15	66	-12	15	-969	1634988064.02608
-1	-1	-2	0	0	6	66	68	10	-20	8	972.18	66	-20	20	-969	1634988064.13047
-1	-1	-2	0	0	6	66	68	10	-20	8	972.15	66	-22	21	-967	1634988064.22726
-1	-1	-2	0	0	0	66	68	10	-20	8	972.18	66	-20	18	-969	1634988064.27433
-1	-1	-2	0	0	0	66	68	10	-20	8	972.2	66	-20	19	-969	1634988064.37739
-1	-1	-2	0	0	0	66	68	10	-10	8	972.2	66	-20	18	-969	1634988064.48137
-1	-1	-2	0	0	0	66	68	10	-10	8	972.19	66	-19	20	-968	1634988064.57861
-1	-1	-2	0	0	0	66	68	10	-10	8	972.13	66	-20	19	-973	1634988064.69417
-1	-1	-2	0	0	0	66	68	10	0	8	972.16	66	-21	19	-969	1634988064.79681
-1	-1	-2	0	0	0	66	68	10	0	8	972.21	66	-22	20	-970	1634988064.89787
-1	-1	-2	0	0	0	66	68	10	0	8	972.16	66	-19	19	-971	1634988064.9899
-1	-1	-2	0	0	0	66	68	10	0	8	972.19	66	-20	20	-972	1634988065.10222
-1	-1	-2	0	0	0	66	68	10	0	8	972.18	66	-21	20	-972	1634988065.19722
-1	-1	-2	0	0	0	66	68	10	0	8	972.2	66	-22	20	-976	1634988065.30325
-1	-1	-2	0	0	0	66	68	10	0	8	972.15	66	-20	19	-974	1634988065.39874
-1	-1	-2	0	0	0	66	68	10	0	8	972.24	66	-21	18	-978	1634988065.51009
-1	-1	-2	0	0	0	66	68	10	0	8	972.21	66	-20	19	-977	1634988065.59771
-1	-1	-2	0	0	0	66	68	10	0	8	972.2	66	-18	19	-977	1634988065.7085
-1	-1	-2	0	0	0	66	68	10	0	8	972.23	66	-22	19	-976	1634988065.81665
-1	-1	-2	0	0	0	65	68	10	0	8	972.24	66	-20	19	-979	1634988065.90506
-1	-1	-2	0	0	0	65	68	10	0	8	972.19	66	-20	17	-980	1634988066.02004
-1	-1	-2	0	0	0	65	68	10	0	8	972.16	66	-20	20	-982	1634988066.11502
-1	-1	-2	0	0	0	65	68	10	0	8	972.22	66	-21	19	-981	1634988066.21943
-1	-1	-2	0	0	0	65	68	10	0	8	972.21	66	-19	20	-981	1634988066.31673
-1	-1	-2	0	0	0	65	68	10	0	8	972.21	66	-19	19	-983	1634988066.42607
-1	-1	-2	0	0	0	65	68	10	0	8	972.12	66	-20	20	-983	1634988066.51601
-1	-1	-2	0	0	0	65	68	10	0	8	972.21	66	-20	18	-980	1634988066.63027
-1	-1	-2	0	0	0	65	68	10	0	8	972.23	66	-32	38	-970	1634988066.76565
-1	-1	-2	0	0	0	65	68	10	0	8	972.26	66	-10	32	-983	1634988066.92209
1	-2	-1	0	1	-1	66	68	10	0	8	972.22	66	-114	28	-1460	1634988066.93896
0	-5	-4	0	1	-5	66	68	10	0	8	972.26	66	149	210	-1337	1634988067.06547
-4	-9	-1	1	2	-8	66	68	10	0	8	972.38	66	52	184	-1376	1634988067.21405
-9	-13	5	2	2	-12	66	68	30	20	8	972.53	66	-260	204	-1365	1634988067.24386
-14	-17	11	2	1	-15	66	68	48	30	8	972.66	66	-356	241	-1096	1634988067.36387
-19	-19	18	1	0	-16	66	68	69	50	8	972.81	66	-459	297	-866	1634988067.49465
-26	-23	28	0	0	-16	66	68	98	70	8	972.98	66	-413	313	-615	1634988067.54415
-36	-30	41	0	0	-13	66	68	136	80	8	973.18	66	-193	236	-404	1634988067.67997
-45	-35	50	1	0	-8	66	68	181	100	8	973.23	66	-222	240	-290	1634988067.82142
-52	-37	54	1	1	-2	66	68	223	100	8	973.25	66	-315	208	-229	1634988067.84177
-52	-38	56	1	1	0	66	69	233	110	8	973.32	66	-703	373	-368	1634988067.9806
-51	-35	53	1	1	0	66	69	220	110	8	973.29	66	-849	292	-519	1634988068.13122
-51	-35	52	1	0	0	66	69	211	110	8	973.28	66	-796	314	-451	1634988068.13222
-51	-34	51	0	0	0	66	69	208	110	8	973.26	66	-717	301	-468	1634988068.21378
-49	-34	51	0	1	0	66	69	200	0	8	973.25	66	-921	487	-525	1634988068.3158
-50	-35	50	0	0	-1	66	69	206	0	8	973.26	66	-810	327	-516	1634988068.41805
-52	-35	50	0	0	-1	66	69	213	0	8	973.29	66	-672	327	-467	1634988068.51895
-51	-37	50	0	1	0	66	69	208	0	8	973.27	66	-755	473	-409	1634988068.6126
-50	-36	46	-1	1	0	66	69	207	0	8	973.28	66	-858	360	-525	1634988068.72219
